"","PTU","mean_down"
"1",29,-31.7872328767123
"2",96,-31.7352472527473
"3",92,-20.9701369863014
"4",95,-18.8717032967033
"5",4,-18.0668767123288
"6",91,-14.7668493150685
"7",87,-13.8124109589041
"8",33,-13.1381643835616
"9",25,-11.1438904109589
"10",26,-10.5667945205479
"11",22,-10.3621095890411
"12",56,-10.1907397260274
"13",3,-9.89917808219178
"14",30,-8.48846575342466
"15",65,-7.73312328767123
"16",8,-6.91860273972603
"17",74,-6.78531506849315
"18",52,-6.46153424657534
"19",79,-6.18265753424657
"20",16,-6.03679452054795
"21",75,-5.92819178082192
"22",17,-5.64972602739726
"23",84,-4.72915068493151
"24",88,-4.19161643835616
"25",76,-4.18476712328767
"26",80,-4.00287671232877
"27",83,-3.99994520547945
"28",7,-3.94441095890411
"29",60,-3.86868493150685
"30",69,-3.27224657534246
"31",55,-3.24071232876712
"32",51,-3.13101369863014
"33",66,-3.06169863013699
"34",18,-2.84183561643836
"35",12,-2.78421917808219
"36",21,-2.78254794520548
"37",61,-2.40043835616438
"38",15,-1.21065753424658
"39",11,-1.03917808219178
"40",59,-0.685205479452054
"41",38,-0.310465753424657
"42",50,-0.290821917808219
"43",24,0.293397260273973
"44",13,0.637287671232877
"45",23,0.702602739726027
"46",14,1.08024657534247
"47",64,1.5053698630137
"48",20,1.53241095890411
"49",63,2.02876712328767
"50",39,2.04693150684932
"51",62,2.25128767123288
"52",37,2.29350684931507
"53",48,2.43452054794521
"54",73,2.61049315068493
"55",34,2.85854794520548
"56",78,3.58813698630137
"57",19,3.71227397260274
"58",42,3.80484931506849
"59",47,3.82876712328767
"60",40,3.88095890410959
"61",44,4.61849315068493
"62",46,6.79342465753425
"63",70,6.858
"64",57,6.98841095890411
"65",58,7.09887671232877
"66",9,7.16345205479452
"67",82,8.21361643835617
"68",67,8.29147945205479
"69",43,9.02997260273973
"70",45,9.06627397260274
"71",54,9.15608219178082
"72",53,9.25427397260274
"73",10,9.80923287671233
"74",41,9.83153424657534
"75",77,14.6190684931507
"76",72,15.042301369863
"77",35,15.814602739726
"78",81,15.9742191780822
"79",36,17.4672054794521
"80",71,17.6559178082192
"81",68,17.6624931506849
"82",27,18.117397260274
"83",49,18.5385479452055
"84",28,19.0945205479452
"85",5,19.6165205479452
"86",2,20.7866849315069
"87",1,23.8077534246575
"88",86,24.0041917808219
"89",6,24.2018904109589
"90",90,25.0524931506849
"91",85,33.4838630136986
"92",31,34.6421917808219
"93",94,35.4041208791209
"94",32,39.8669589041096
"95",89,47.4690684931507
"96",93,64.003489010989
